condition,target_party,retrieved_party,proportion
bge/twostage_hybrid,AfD,SPD,0.1632
bge/twostage_hybrid,AfD,CDU/CSU,0.1675
bge/twostage_hybrid,AfD,AfD,0.3693
bge/twostage_hybrid,AfD,FDP,0.1053
bge/twostage_hybrid,AfD,Greens,0.0728
bge/twostage_hybrid,AfD,Left,0.0956
bge/twostage_hybrid,AfD,Other,0.0263
bge/twostage_hybrid,FDP,SPD,0.2328
bge/twostage_hybrid,FDP,CDU/CSU,0.2931
bge/twostage_hybrid,FDP,AfD,0.1138
bge/twostage_hybrid,FDP,FDP,0.1621
bge/twostage_hybrid,FDP,Greens,0.1224
bge/twostage_hybrid,FDP,Left,0.069
bge/twostage_hybrid,FDP,Other,0.0069
bge/twostage_hybrid,Greens,SPD,0.2256
bge/twostage_hybrid,Greens,CDU/CSU,0.2397
bge/twostage_hybrid,Greens,AfD,0.0788
bge/twostage_hybrid,Greens,FDP,0.1199
bge/twostage_hybrid,Greens,Greens,0.2096
bge/twostage_hybrid,Greens,Left,0.116
bge/twostage_hybrid,Greens,Other,0.0103
bge/twostage_hybrid,Left,SPD,0.1698
bge/twostage_hybrid,Left,CDU/CSU,0.1385
bge/twostage_hybrid,Left,AfD,0.1542
bge/twostage_hybrid,Left,FDP,0.0788
bge/twostage_hybrid,Left,Greens,0.1547
bge/twostage_hybrid,Left,Left,0.2872
bge/twostage_hybrid,Left,Other,0.0168
e5/hyde,SPD,SPD,0.3406
e5/hyde,SPD,CDU/CSU,0.209
e5/hyde,SPD,AfD,0.038
e5/hyde,SPD,FDP,0.1021
e5/hyde,SPD,Greens,0.2253
e5/hyde,SPD,Left,0.079
e5/hyde,SPD,Other,0.006
e5/hyde,CDU/CSU,SPD,0.3167
e5/hyde,CDU/CSU,CDU/CSU,0.298
e5/hyde,CDU/CSU,AfD,0.0471
e5/hyde,CDU/CSU,FDP,0.1363
e5/hyde,CDU/CSU,Greens,0.1667
e5/hyde,CDU/CSU,Left,0.0225
e5/hyde,CDU/CSU,Other,0.0127
e5/hyde,AfD,SPD,0.2004
e5/hyde,AfD,CDU/CSU,0.2754
e5/hyde,AfD,AfD,0.1917
e5/hyde,AfD,FDP,0.0838
e5/hyde,AfD,Greens,0.1373
e5/hyde,AfD,Left,0.0969
e5/hyde,AfD,Other,0.0145
e5/hyde,FDP,SPD,0.2948
e5/hyde,FDP,CDU/CSU,0.2328
e5/hyde,FDP,AfD,0.0362
e5/hyde,FDP,FDP,0.1784
e5/hyde,FDP,Greens,0.1888
e5/hyde,FDP,Left,0.0621
e5/hyde,FDP,Other,0.0069
e5/hyde,Greens,SPD,0.2647
e5/hyde,Greens,CDU/CSU,0.2676
e5/hyde,Greens,AfD,0.0321
e5/hyde,Greens,FDP,0.1147
e5/hyde,Greens,Greens,0.2212
e5/hyde,Greens,Left,0.0946
e5/hyde,Greens,Other,0.0051
e5/hyde,Left,SPD,0.1832
e5/hyde,Left,CDU/CSU,0.1603
e5/hyde,Left,AfD,0.0768
e5/hyde,Left,FDP,0.0964
e5/hyde,Left,Greens,0.1771
e5/hyde,Left,Left,0.2916
e5/hyde,Left,Other,0.0145
e5/simple,SPD,SPD,0.3124
e5/simple,SPD,CDU/CSU,0.2359
e5/simple,SPD,AfD,0.0682
e5/simple,SPD,FDP,0.106
e5/simple,SPD,Greens,0.1963
e5/simple,SPD,Left,0.0747
e5/simple,SPD,Other,0.0065
e5/simple,CDU/CSU,SPD,0.2863
e5/simple,CDU/CSU,CDU/CSU,0.2863
e5/simple,CDU/CSU,AfD,0.0627
e5/simple,CDU/CSU,FDP,0.1569
e5/simple,CDU/CSU,Greens,0.1608
e5/simple,CDU/CSU,Left,0.0314
e5/simple,CDU/CSU,Other,0.0157
e5/simple,AfD,SPD,0.1526
e5/simple,AfD,CDU/CSU,0.1965
e5/simple,AfD,AfD,0.3509
e5/simple,AfD,FDP,0.0754
e5/simple,AfD,Greens,0.1158
e5/simple,AfD,Left,0.0982
e5/simple,AfD,Other,0.0105
e5/simple,FDP,SPD,0.2517
e5/simple,FDP,CDU/CSU,0.2448
e5/simple,FDP,AfD,0.0621
e5/simple,FDP,FDP,0.1966
e5/simple,FDP,Greens,0.1552
e5/simple,FDP,Left,0.0897
e5/simple,FDP,Other,0.0
e5/simple,Greens,SPD,0.2385
e5/simple,Greens,CDU/CSU,0.2295
e5/simple,Greens,AfD,0.0449
e5/simple,Greens,FDP,0.141
e5/simple,Greens,Greens,0.2333
e5/simple,Greens,Left,0.1077
e5/simple,Greens,Other,0.0051
e5/simple,Left,SPD,0.1464
e5/simple,Left,CDU/CSU,0.1419
e5/simple,Left,AfD,0.1028
e5/simple,Left,FDP,0.0939
e5/simple,Left,Greens,0.1598
e5/simple,Left,Left,0.3385
e5/simple,Left,Other,0.0168
e5/twostage,SPD,SPD,0.3235
e5/twostage,SPD,CDU/CSU,0.2581
e5/twostage,SPD,AfD,0.0608
e5/twostage,SPD,FDP,0.1171
e5/twostage,SPD,Greens,0.188
e5/twostage,SPD,Left,0.0516
e5/twostage,SPD,Other,0.0009
e5/twostage,CDU/CSU,SPD,0.2706
e5/twostage,CDU/CSU,CDU/CSU,0.3373
e5/twostage,CDU/CSU,AfD,0.0314
e5/twostage,CDU/CSU,FDP,0.1294
e5/twostage,CDU/CSU,Greens,0.149
e5/twostage,CDU/CSU,Left,0.0549
e5/twostage,CDU/CSU,Other,0.0275
e5/twostage,AfD,SPD,0.1407
e5/twostage,AfD,CDU/CSU,0.2576
e5/twostage,AfD,AfD,0.3196
e5/twostage,AfD,FDP,0.091
e5/twostage,AfD,Greens,0.098
e5/twostage,AfD,Left,0.0879
e5/twostage,AfD,Other,0.0053
e5/twostage,FDP,SPD,0.2655
e5/twostage,FDP,CDU/CSU,0.2276
e5/twostage,FDP,AfD,0.0931
e5/twostage,FDP,FDP,0.2069
e5/twostage,FDP,Greens,0.131
e5/twostage,FDP,Left,0.0759
e5/twostage,FDP,Other,0.0
e5/twostage,Greens,SPD,0.2324
e5/twostage,Greens,CDU/CSU,0.2535
e5/twostage,Greens,AfD,0.0474
e5/twostage,Greens,FDP,0.1167
e5/twostage,Greens,Greens,0.25
e5/twostage,Greens,Left,0.0949
e5/twostage,Greens,Other,0.0051
e5/twostage,Left,SPD,0.1676
e5/twostage,Left,CDU/CSU,0.1531
e5/twostage,Left,AfD,0.0883
e5/twostage,Left,FDP,0.1006
e5/twostage,Left,Greens,0.1497
e5/twostage,Left,Left,0.3251
e5/twostage,Left,Other,0.0156
jina/hyde,SPD,SPD,0.2439
jina/hyde,SPD,CDU/CSU,0.4107
jina/hyde,SPD,AfD,0.1029
jina/hyde,SPD,FDP,0.0722
jina/hyde,SPD,Greens,0.1073
jina/hyde,SPD,Left,0.058
jina/hyde,SPD,Other,0.0049
jina/hyde,CDU/CSU,SPD,0.2167
jina/hyde,CDU/CSU,CDU/CSU,0.3074
jina/hyde,CDU/CSU,AfD,0.1389
jina/hyde,CDU/CSU,FDP,0.1
